pmb_id,raw_sent,precision,recall,f1,precision_lenient,recall_lenient,f1_lenient
en/p12/d2562,He owns a private jet.,0.8,0.8484848484848485,0.823529411764706,0.8,0.8571428571428571,0.8275862068965518
en/p12/d2101,She hated him.,0.7241379310344828,0.7777777777777778,0.75,0.76,0.8260869565217391,0.7916666666666667
en/p12/d1711,I wasn't joking.,0.9130434782608695,0.84,0.8749999999999999,0.9,0.8181818181818182,0.8571428571428572
en/p12/d0875,I'm in love with you.,0.7931034482758621,0.7419354838709677,0.7666666666666667,0.76,0.7037037037037037,0.7307692307692308
en/p12/d2819,I might vote for Tom.,0.5806451612903226,0.72,0.6428571428571428,0.5925925925925926,0.7272727272727273,0.6530612244897959
en/p12/d1918,The score is one all.,0.7142857142857143,0.5172413793103449,0.6000000000000001,0.7777777777777778,0.56,0.6511627906976745
en/p12/d3346,We cultivate rice.,0.896551724137931,0.896551724137931,0.896551724137931,0.92,0.92,0.92
en/p12/d2699,The soldier gave me water.,0.8484848484848485,0.6829268292682927,0.7567567567567567,0.8928571428571429,0.7142857142857143,0.7936507936507937
en/p12/d0922,It had snowed.,0.6521739130434783,1.0,0.7894736842105263,0.65,1.0,0.787878787878788
en/p12/d1720,"She's not young, is she?",0.5172413793103449,0.6521739130434783,0.576923076923077,0.52,0.65,0.5777777777777778
en/p12/d1845,I'm fed up with your stories!,0.6571428571428571,0.7419354838709677,0.6969696969696969,0.6666666666666666,0.7407407407407407,0.7017543859649122
en/p12/d2736,No one is expendable.,0.8095238095238095,0.7391304347826086,0.7727272727272727,0.7777777777777778,0.7,0.7368421052631577
en/p12/d2112,"If I don't have a bow, I can't play the violin.",0.7755102040816326,0.6785714285714286,0.7238095238095238,0.7857142857142857,0.673469387755102,0.7252747252747253
en/p12/d1391,To whom is Shostakovich's String Quartet No. 8 dedicated?,0.5306122448979592,0.6666666666666666,0.5909090909090909,0.5476190476190477,0.6764705882352942,0.605263157894737
en/p12/d2804,Tom left three days ago.,0.7297297297297297,0.6923076923076923,0.7105263157894737,0.75,0.7058823529411765,0.7272727272727272
en/p12/d2264,The house is five hundred years old.,0.7428571428571429,0.7428571428571429,0.7428571428571429,0.7666666666666667,0.7666666666666667,0.7666666666666667
en/p12/d2871,Let's not overreact.,0.5925925925925926,0.64,0.6153846153846153,0.5652173913043478,0.5909090909090909,0.5777777777777778
en/p12/d1907,Mary grabbed her purse and left.,0.8611111111111112,0.6595744680851063,0.7469879518072289,0.9032258064516129,0.6829268292682927,0.7777777777777778
en/p12/d3037,I think my right arm is broken.,0.723404255319149,0.6415094339622641,0.68,0.7,0.6086956521739131,0.6511627906976744
en/p12/d0929,"I took a taxi, because it was raining.",0.7906976744186046,0.7555555555555555,0.7727272727272727,0.8108108108108109,0.7692307692307693,0.7894736842105263
en/p12/d2068,The ship is unloading the boxes.,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.9130434782608695,0.9130434782608695,0.9130434782608695
en/p12/d0877,I was invited by an old friend.,0.8857142857142857,0.7560975609756098,0.8157894736842105,0.9333333333333333,0.8,0.8615384615384616
en/p12/d2518,Tom has gone to Boston.,0.8387096774193549,0.8387096774193549,0.8387096774193549,0.8518518518518519,0.8518518518518519,0.8518518518518519
en/p12/d3247,Tom videotaped it.,0.896551724137931,0.896551724137931,0.896551724137931,0.92,0.92,0.92
en/p12/d1922,Mary bought herself a microscope.,0.7428571428571429,0.896551724137931,0.8125,0.7666666666666667,0.92,0.8363636363636363
en/p12/d1394,What is TB?,0.6956521739130435,0.5517241379310345,0.6153846153846154,0.65,0.52,0.5777777777777778
en/p12/d2043,He bought vegetables and some fruit.,0.8571428571428571,0.7692307692307693,0.8108108108108107,0.8666666666666667,0.7878787878787878,0.8253968253968254
en/p12/d0799,Can we roller-skate in this park?,0.45714285714285713,0.6956521739130435,0.5517241379310345,0.4666666666666667,0.7,0.56
en/p12/d3517,I owed him a thousand dollars.,0.8378378378378378,0.7209302325581395,0.7749999999999999,0.875,0.7567567567567568,0.8115942028985507
en/p12/d2357,Tom is folding his laundry.,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.8846153846153846,0.8846153846153846,0.8846153846153846
en/p12/d1397,I am reading a book now.,0.7714285714285715,0.9310344827586207,0.8437500000000001,0.7666666666666667,0.92,0.8363636363636363
en/p12/d3237,How is your surname pronounced?,0.7272727272727273,0.7741935483870968,0.7500000000000001,0.7142857142857143,0.7407407407407407,0.7272727272727273
en/p12/d1817,Mary laughed and threw a pillow at me.,0.8048780487804879,0.6111111111111112,0.6947368421052632,0.8,0.5957446808510638,0.6829268292682927
en/p12/d1503,He telephoned me again and again.,0.6097560975609756,0.8620689655172413,0.7142857142857144,0.6285714285714286,0.88,0.7333333333333334
en/p12/d2136,Mr Smith lives in Kyoto now.,0.7297297297297297,0.7297297297297297,0.7297297297297297,0.71875,0.71875,0.71875
en/p12/d2094,Let's jump into the water.,0.6666666666666666,0.7586206896551724,0.7096774193548386,0.6785714285714286,0.76,0.7169811320754718
en/p12/d1850,Cows abound on that farm.,0.8888888888888888,0.8888888888888888,0.8888888888888888,0.8695652173913043,0.8695652173913043,0.8695652173913043
en/p12/d2561,He does not speak English.,0.6451612903225806,0.6896551724137931,0.6666666666666667,0.6666666666666666,0.72,0.6923076923076923
en/p12/d3429,Tom also plays guitar.,0.7142857142857143,0.8620689655172413,0.7812500000000001,0.7666666666666667,0.92,0.8363636363636363
en/p12/d1815,The street was blocked by a huge truck.,0.9090909090909091,0.9090909090909091,0.9090909090909091,0.8928571428571429,0.8928571428571429,0.8928571428571429
en/p12/d0789,Someone is calling you.,0.8275862068965517,0.8275862068965517,0.8275862068965517,0.84,0.84,0.8399999999999999
en/p12/d1466,Tom is a 33-year-old man.,0.7586206896551724,0.4489795918367347,0.564102564102564,0.76,0.4523809523809524,0.5671641791044777
en/p12/d1165,Paul Keast,0.47058823529411764,0.5333333333333333,0.5,0.5333333333333333,0.6153846153846154,0.5714285714285715
en/p12/d3079,Tom finished off the soup.,0.8620689655172413,0.8620689655172413,0.8620689655172413,0.88,0.88,0.88
en/p12/d2868,He's now studying.,0.5862068965517241,0.8095238095238095,0.68,0.64,0.8888888888888888,0.7441860465116279
en/p12/d2253,Tom tackled the problem immediately.,0.9428571428571428,0.9428571428571428,0.9428571428571428,0.9666666666666667,0.9666666666666667,0.9666666666666667
en/p12/d0902,I ironed the handkerchief.,0.9310344827586207,0.9310344827586207,0.9310344827586207,0.92,0.92,0.92
en/p12/d1910,"I'm kind of excited, too.",0.7142857142857143,0.8620689655172413,0.7812500000000001,0.7,0.84,0.7636363636363636
en/p12/d0821,He is proud of his son.,0.7714285714285715,0.7941176470588235,0.782608695652174,0.7666666666666667,0.7931034482758621,0.7796610169491527
